Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,9.356n,402,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,38.51n,402,
Delay(Ch1,Ch2),64.9ms,64.991162m,64.9m,66.08m,93.48µ,402,

